indicx,no_cidade
"126.20","Bonito de Minas"
"103.05","Boa Esperança"
"152.17","Botumirim"
"328.57","Antônio Prado de Minas"
"129.56","Águas Formosas"
"135.29","Bias Fortes"
"94.40","Varzedo"
"87.17","Aricanduva"
"102.12","Bom Sucesso"
"84.35","Valença"
"106.33","Arcos"
"134.61","Água Boa"
"111.76","Água Comprida"
"85.52","Bela Vista de Minas"
"112.71","Além Paraíba"
"124.42","Andrelândia"
"126.66","Alto Caparaó"
"126.66","Antônio Carlos"
"111.47","Areado"
"59.44","Araporã"
"94.62","Xique-Xique"
"93.42","Belo Horizonte"
"79.61","Uibaí"
"75.67","Arantina"
"129.23","Abadia dos Dourados"
"80.00","Acaiaca"
"152.17","Bocaina de Minas"
"139.28","Barra Longa"
"103.60","Baependi"
"79.77","Belo Vale"
"111.11","Bom Jesus do Galho"
"102.25","Utinga"
"120.00","Albertina"
"62.96","Arapuá"
"101.36","Bom Jardim de Minas"
"88.94","Vera Cruz"
"140.42","Bandeira"
"187.50","Águas Vermelhas"
"104.68","Barão de Cocais"
"102.63","Barão de Monte Alto"
"104.61","Alvarenga"
"103.70","Bonfinópolis de Minas"
"111.76","Barbacena"
"161.76","Alpercata"
"103.00","Araújos"
"146.66","Bom Jesus da Penha"
"104.79","Astolfo Dutra"
"114.70","Belmiro Braga"
"108.37","Alpinópolis"
"153.19","Amparo do Serra"
"106.35","Abaeté"
"125.00","Aguanil"
"115.00","Araçaí"
"157.72","Botelhos"
"106.91","Wenceslau Guimarães"
"116.66","Belo Oriente"
"106.43","Araxá"
"129.21","Cachoeira de Pajeú"
"99.34","Bom Despacho"
"93.96","Angelândia"
"157.77","Almenara"
"98.04","Barroso"
"143.63","Bom Jesus do Amparo"
"178.57","Biquinhas"
"133.33","Alvorada de Minas"
"111.39","Vereda"
"79.01","Alfredo Vasconcelos"
"125.42","Arinos"
"94.25","Urandi"
"78.57","Aiuruoca"
"111.01","Una"
"110.93","Conceição da Aparecida"
"134.00","Caetanópolis"
"102.22","Coluna"
"168.42","Conquista"
"104.29","Campos Gerais"
"131.57","Conceição das Pedras"
"90.95","Campestre"
"77.04","Caraí"
"134.69","Buenópolis"
"118.18","Chiador"
"240.15","Conceição do Mato Dentro"
"109.40","Campo do Meio"
"117.94","Campo Florido"
"95.06","Campina Verde"
"132.18","Carbonita"
"215.68","Chalé"
"122.85","Confins"
"199.21","Caeté"
"117.64","Comendador Gomes"
"158.82","Caldas"
"98.18","Bugre"
"131.42","Campos Altos"
"105.26","Brasilândia de Minas"
"93.61","Carangola"
"130.43","Cajuri"
"164.61","Cabeceira Grande"
"146.00","Congonhas do Norte"
"96.96","Caiana"
"115.66","Claro dos Poções"
"125.45","Candeias"
"100.00","Campanha"
"117.77","Cambuquira"
"120.10","Brumadinho"
